Costume collections from the Royal Pavilion and Museums, Brighton & Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
The garment this pattern is for is a dress and over-blouse. The illustrations on the front of the envelope shows the six gore, slightly flared dress with the model in blue wearing a blouson top and the one in white wearing a sheer sleeveless top.;;;;;;;;
"Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope."",dmas_ct005204_d01_cc1024.jpg";;;;;;;;
CT005205,Costume,Dressmaking Pattern,,McCall's,1963,,,,,Paper;" Paper tissue,,""This is a paper dress pattern in an envelope, made by McCall_s, New York, USA, circa 1963. It is pattern number 7129.";;;;;;;
"The dress pattern is illustrated on the envelope in three different contrasting fabrics and is presented as an _Easy_ pattern to make. The back of the envelope provides information on fabric requirements, a visual description of the pattern pieces and line illustrations of the back views of the dress."",dmas_ct005205_d01_cc1024.jpg";;;;;;;;
CT005206,Costume,Dressmaking Pattern,,Simplicity,c1955,,,,,Paper;" Paper tissue,,""This is tracing paper in a paper envelope made by Simplicity, England, circa 1955";;;;;;;
The tracing paper _For home dressmaking with all patterns_ in three colours, 2 red, 2 yellow and 2 blue.  The tracing paper is used for marking darts, tucks, and buttonholes etc. It works by transferring the colour from the tracing paper to the fabric by the pressure of a _dressmakers_ wheel_.;;;;;;;;
"Dressmakers tracing paper is still available now."",dmas_ct005206_d01_cc1024.jpg";;;;;;;;
"CT005209,Costume,Dress,,Curiel,1955,,,,,Silk and glass,,""This is a knee-length, strapless cocktail dress made of black silk crˆpe. It is decorated with cream-coloured beads and sequins in a design of stylised roses. A silk chiffon scarf is attached at the right shoulder.";;;;;;;;
This dress was made by Curiel in Italy in 1955. It was purchased in Europe for Santina Holmes-Burns by her husband.;;;;;;;;
"Little black dresses came into their own during the 1950s, owing to the post-war popularity of cocktail parties. Christian Dior described cocktail dresses in 1954 as _elaborate and dressy afternoon frocks_."",dmas_ct005209_d01_cc1024.jpg";;;;;;;;
CT005210,Costume,Dress,,,c1953-1954;" 1958,,,,,Silk,,""This is a black dress made of silk organza woven with blue polka dots. The dress has a knee-length puffball skirt, thin shoulder straps and a black satin ribbon under the bust. ";;;;;;;
"This dress was made by a fashion student at Brighton College of Craft in circa 1953-1954. It was bought by Janet Stenning, who radically remodelled the dress into a more fashionable style in 1958."",dmas_ct005210_d01_cc1024.jpg";;;;;;;;
CT005211,Costume,Dress,,,c1936,,,,,Silk;" Satin,,""This is a black evening dress made of silk crˆpe. The dress has a full-length skirt with a knee-length overskirt and sash belt, black on one side, gold on the other. The long pleated and flared sleeves are split to the elbow revealing gold coloured satin lining. A large gold flower is applied to the right shoulder. The dress fastens with gold coloured fabric buttons at the back of the neck. ";;;;;;;
The maker of this dress is unknown;" it dates to circa 1936. During the 1930s Hollywood film spread the appeal of a glamorous, sensuous look for eveningwear.  Black was one of the most fashionable colours of the decade and new metallic fabrics were also very popular."",dmas_ct005211_d01_cc1024.jpg";;;;;;;
"CT005212,Costume,Dress,,,c1939-1945,,,,,Silk,,""This is a black crˆpe day dress. The dress is knee length with elbow length sleeves, square padded shoulders, a collar and belt. The dress fastens with buttons down the front and is decorated with pin tucks on either side of the front of the bodice.";;;;;;;;
"During the Second World War, clothing for women was practical, restrained and austere. With many women actively participating in the war effort, fashion began to take on a masculinised, military appearance.  Simple silhouettes with broad shoulders and shorter tailored skirts were considered fashionable and patriotic."",dmas_ct005212_d01_cc1024.jpg";;;;;;;;
CT005213,Costume,Dress,,,1936,,,,,Silk;" Leather,,""This is a black silk evening dress decorated with ammonite fossil shapes, made of gold coloured leather.  The dress has a full-length skirt and a knee-length, tunic styled over-dress, draped and folded towards the left shoulder where it appears to be secured with two decorative coils of gold leather. A scarf falls from the back of the shoulder to just above the hem. The complex construction of this dress is inspired by the tunics and cloaks of Ancient Greek clothing. ";;;;;;;
"The maker of this dress is not known, although it has been attributed to the designer Elsa Schiaparelli. It dates to circa 1936. In the mid 1930s fashion glorified styles of other cultures particularly the drapery of Classical Greek dress and Indian sari_s. Schiaparelli was celebrated in 1935 for her sari dresses, which Vogue remarked made women look like _Hindu princesses_."",dmas_ct005213_d01_cc1024.jpg";;;;;;;;
"CT005214,Costume,Dress,,,c1930-1935,,,,,Silk,,""This is a black silk crˆpe evening dress. An abstract leaf pattern has been cut out of the bodice, revealing a bright green lining fabric. The dress has large puffed sleeves over net undersleeves and a bias cut three-quarter length skirt. This dress dates from circa 1930-1935";" its maker is unknown."",dmas_ct005214_d01_cc1024.jpg";;;;;;;
"CT005215,Costume,Dress,,,c1938-c1945,,,,,Silk,,""This is a black silk crˆpe day dress. It has a crossover bodice cut out in a grid pattern exposing a pale pink lining. The skirt is knee-length, the sleeves three-quarter length and the shoulders broad and padded. In the late 1930s the fashionable silhouette was simple with boxy shoulders and slim skirts. This look continued throughout the war, incorporating more masculinised and military influences.";;;;;;;;
"The maker of this dress is unknown maker. It dates from circa 1938-1945."",dmas_ct005215_d01_cc1024.jpg";;;;;;;;
CT005216,Costume,Dress,,,c1928-1930,,,,,Silk;" Velvet,,""This is a black full-length evening dress dating from circa 1928-1930. It is made from coarse silk net  lined with silk. The dress has a panelled skirt with an uneven hem and a dropped waistline. It is sleeveless with a low neck and back, decorated with a large black velvet flower on the right shoulder. ";;;;;;;
The design of this dress indicates the move away from simple straight cut styles popular in the early part of the 1920s, towards the elegant designs with complex cuts that became become popular in the 1930s. This dress has no known maker.;;;;;;;;
"The dress belonged to Edith Jeanette Seymour. She was one of the first female journalists working on Pearsons Weekly, Gentlewoman's Magazine, St James' Gazette and the Evening Standard as a fashion editor. She travelled widely and many of her clothes are from France."",dmas_ct005216_d01_cc1024.jpg";;;;;;;;
CT005236,Costume,Dress,,Catherine Walker,2005,,,,,Silk;" Crystal,,""This is a black evening dress designed by the couturier Catherine Walker.  The dress is made from black silk crˆpe, with side panels of sheer black silk georgette, outlined with crystal beads. It is knee-length and has thin _spaghetti_ straps.  ";;;;;;;
This dress is typical of  Catherine Walker's elegant, feminine style. Walker says that this design focuses on fragility and tenderness; the see-through panels suggest vulnerability and the seams directed towards the centre hint at hands wrapped around the waist.;;;;;;;
"The dress was made in London in 2005."",dmas_ct005236_d01_cc1024.jpg";;;;;;;;
CTLOA000001,Costume,Dress,,Charles James,1935,,,,,Silk;" Linen,,""This dress was made by Charles James for Anne, Countess of Rosse to wear on her honeymoon in Bali in 1935. ";;;;;;;
The dress is made of yellow silk boucle with a dark red linen asymmetric waist tie. The colour and waist tie reference traditional dress worn by Balinese women.;;;;;;;;
The dress does not have the designers label, but Anne stated that it was made by Charles James in an interview she gave in 1985. She said that the designer made all of her wedding trousseau (special clothes for the bride) but all that survives is the Bali Dress.;;;;;;;;
"This dress is part of the Messel Dress Collection, which includes six generations of one family_s clothes dating from 1870 - 2005."",dmas_ctloa000001_d01_cc1024.jpg";;;;;;;;
CTLOA000018,Costume,Dress,,Pearce Fionda,1997,,,,,Silk;" Satin,,""This is a black silk crˆpe shift dress with a decorative black satin bow.  The dress is sleeveless, with a shallow scoop neck and a fitted knee length skirt. The bias cut bow is inset diagonally across the front of the dress giving the impression of a sash draped around the body. ";;;;;;;
"The dress was designed by Pearce Fionda, London, in Spring/Summer 2007. Reynold Pearce and Andrew Fionda met whilst studying fashion at Nottingham Trent University. In 1994 they debuted their first fashion collection in only black and white, which proved hugely popular. In 2003, Andrew Fionda launched his collection of Little Black Dresses."",dmas_ctloa000018_d01_cc1024.jpg";;;;;;;;
CTLOA000019,Costume,Dress,,,c1958-1963,,,,,Wool;" Glass,,""This is a black wool jersey cocktail dress. It is sleeveless, knee length and tight fitting, with darts at the bust and waist. This style is known as a sheath. The dress is decorated around the middle with diamante";" this gives the impression of a narrow waist. The maker of this dress is unknown. It dates from circa 1958-1963."",dmas_ctloa000019_d01_cc1024.jpg";;;;;;
"CTLOA000020,Costume,Dress,,,c1968-1975,,,,,Polyester,,""This is a black polyester mini-dress. It has short flared sleeves, an a-line skirt, a low v-neck and a high waist"; beneath the bust there is a panel of black lace. The back of the dress is also low and can be fastened with a bow. The style of this dress can be described as _baby doll_; a style introduced by the 1956 movie _Baby Doll_.  The baby doll  look referenced design features associated with children_s fashion - bows, short hems, soft fabrics etc. This popularity of this fashion testified to the preoccupation with youth in the 1960s.;;;;;;
"This dress dates from circa 1968-1975 and the maker is unknown."",dmas_ctloa000020_d01_cc1024.jpg";;;;;;;;
CTLOA000024,Costume,Dress,,Casadei,c1983-1984,,,,,Polyester;" Plastic,,""This is black polyester evening dress. The dress has long sleeves with broad padded shoulders and wide armholes tapering towards tight fitting wrists. The loose fitting bodice is gathered to the high neck. A large _key-hole_ panel is cut out of the back of the bodice. The skirt is calf length. A black and gold beaded panel is attached to the left hip, the fabric of the skirt is draped from the right hip and gathered around the point of the panel, the fabric falls from the panel in a streamer which hangs below the hemline. The back of the skirt is ruched across the bottom and thighs. ";;;;;;;
"This dress is designed by Casadei. It dates from circa 1983 _ 1984."",dmas_ctloa000024_d02_cc1024.jpg";;;;;;;;
"CTLOA000027,Costume,Dress,,Colin Becke,c1955-1960,,,,,Silk,,""This is black silk chiffon cocktail dress. It has a fitted boned bodice covered with loosely pleated triangular panels.  A twisted strip of fabric is attached around the low neckline and extends into shoulder straps. Layers of tulle, chiffon and ribbed silk underskirts hold out the knee-length overskirt.  ";;;;;;;;
French couturier Christian Dior introduced feminine full-skirted styles, using yards of fabric, in his _New Look_ collection of 1947. This was a radical departure from the austere styles of dress enforced during the Second World War. Rationing in Britiain was lifted in 1952 and full skirts became a defining feature of the fashionable silhouette of the decade.;;;;;;;;
"This dress was designed by Colin Becke in London in circa 1955-1960."",dmas_ctloa000027_d02_cc1024.jpg";;;;;;;;
CTLOA000028,Costume,Dress,,Susan Roselli; Vijack,c1983-1984,,,,,Polyester;" Glass,,""This is a black polyester evening dress. It has long sleeves, full at the shoulder, emphasised by large shoulder pads and strips of decorative diamante, becoming tighter towards the wrists.  The dress has a loose, draped bodice, crossed over at the front and gathered into the waistband. The tight fitting skirt is gathered vertically in the front into an off centre seam covered with strip of diamante. At the back, the skirt is gathered down its length centrally. The bottom hem is lower at the back.";;;;;;
In the 1980s, large sleeves and exaggerated shoulder pads contributed towards a style known as _power dressing_. During this period Britain had it_s first female Prime Minister and women were entering the previously male-dominated office in greater numbers. By power dressing women asserted their economic and social status.;;;;;;;;
"This dress was designed by Susan Roselli for Vijack. It was made in New York in circa 1983-1984."",dmas_ctloa000028_d02_cc1024.jpg";;;;;;;;
CTLOA000030,Costume,Dress,,,c1938-1939,,,,,Wool;" Metal,,""This is a black wool crˆpe dress. It is calf-length, with a square neckline, long sleeves and square padded shoulders. The bodice of the dress is pleated from the shoulders to the hip. There are two patch pockets on either hip. Both the shoulders and pockets are decorated with braid and small metal studs. ";;;;;;;
The maker of this dress is unknown;" it dates from circa 1938 to 1939.  By the end of the 1930s the fashionable silhouette for women was angular, with severe lines and strongly emphasised shoulders. As the Second World War approached military influences, such as epaulettes, became fashionable."",dmas_ctloa000030_d02_cc1024.jpg";;;;;;;
CTLOA000032,Costume,Dress,,,c1940s,,,,,Wool;" Glass,,""This is a black wool crˆpe evening dress made in the 1940s. It has short sleeves with padded shoulders, a round neck, a straight calf-length skirt with an asymmetrically draped overskirt and a separate narrow belt. The bodice and over skirt are decorated with diamante. During the Second World War (1939 _ 1945) women were encouraged to alter and adapt their existing clothes. It is possible the wearer of the dress added the diamante."",dmas_ctloa000032_d01_cc1024.jpg";;;;;;;
CTLOA000033,Costume,Dress,,Janice Wainwright,c1978-1984,,,,,Jersey;" Velvet,,""This is a black jersey evening dress, designed by Janice Wainwright in London in circa 1978-1984.";;;;;;;
"The dress is tight fitting and calf length. It has a round neckline with a deep slit at the front, full length sleeves and narrow sash belt that ties twice around the waist. The collar, cuffs, hem and belt are trimmed with a band of black and gold velvet."",dmas_ctloa000033_d01_cc1024.jpg";;;;;;;;
CTLOA000034,Costume,Dress,,,c1964-1965,,,,,Nylon;" Silk,,""This is a black synthetic silk cocktail dress.  It has a straight, tight-fitting knee-length skirt and a half-length silk chiffon overskirt with a wide frill at the hem. The bodice is tight-fitting with narrow shoulder straps. ";;;;;;;
Cocktail parties were early evening occasions where guests usually stood and mingled. Cocktail  dresses often had complex details on the skirt which would be crushed if sat upon. The couturier Christian Dior described cocktail dresses as 'elaborate and dressy afternoon frocks'. ;;;;;;;;
"The maker of this dress is unknown, but it has clearly been influenced by a Christian Dior design shown in Vogue in 1964. This dress dates to circa 1964-1965."",dmas_ctloa000034_d02_cc1024.jpg";;;;;;;;
CTLOA000035,Costume,Dress,,,c1961,,,,,Silk; Glass; Metal;" Plastic,,""This is a black silk chiffon cocktail dress. It has a flared, pleated, knee-length skirt and a pleated, sleeveless bodice. A decorative buckle made of diamante and imitation pearls is attached to the waist at the centre front of the bodice.";;;;;
This is a classic Little Black Dress;" its design has remained appealing and relevant for over 40 year. In 2007 fashion designers Pearce II Fionda were inspired to create a dress based on this one, which was sold in the department store Debenhams."",dmas_ctloa000035_d01_cc1024.jpg";;;;;;;
"CTLOA000036,Costume,Dress,,Suzy Perette,c1958-1963,,,,,Silk,,""This is a black silk dress. It has a sleeveless fitted bodice with V shaped darts from the bust to waist and a wide round neck. The dress has an a-line, knee-length skirt with a deep inverted pleat from waist to hem and inner pockets at each hip. The dress is decorated with six circles of black, coiled braid applied at the front of the waist and two larger circles on either hip. ";;;;;;;;
The dress was designed by Suzy Perette in New York. It dates to circa 1958-1963. Inside the dress is a label, which reads: _Union Made, ILGW, Int. Ladies Garment Workers Union, Order No 0932, Style 4164 10._;;;;;;;;
"The International Ladies_ Garment Workers_ Union was founded in 1900 in New York. It became one of the largest labour unions in America and one of the first to have a mainly female membership."",dmas_ctloa000036_d01_cc1024.jpg";;;;;;;;
"CTLOA000038,Costume,Dress,,Betty Carol,c1965,,,,,Wool,,""This is a black machine-knitted jersey dress. It has a fitted bodice with a V shaped neck, long sleeves and a short a-line skirt with a kick pleat. A cream-coloured false shirtfront with a black bow tie is attached to the dress at the neck with tacking stitches. Cream-coloured 'cuffs' are attached to the bottom of the sleeves. The design of this dress is a playful interpretation of man_s tuxedo suit. ";;;;;;;;
"This dress was designed by Betty Carol_ and is from a range called _Mam_selle Knits_. It was made in America in circa 1965."",dmas_ctloa000038_d02_cc1024.jpg";;;;;;;;
"CTLOA000039,Costume,Dress,,,c1960-1965,,,,,Synthetic,,""This is a black synthetic crˆpe shift dress. It has a fitted sleeveless bodice with a wide round neck and a straight, knee-length, tiered skirt with a decorative string bow at the waist. It fastens at the back with a zip. The maker of this dress is unknown"; it dates to circa 1960-1965. This is a classic little black dress of the period;" its design is simple, elegant and versatile. This style was popularised by the 1961 film Breakfast at Tiffany's."",dmas_ctloa000039_d01_cc1024.jpg";;;;;;
CTLOA000040,Costume,Dress,,Beginnings Dress Company Inc.,c1978,,,,,Synthetic;" Plastic,,""This is a black synthetic crˆpe wrap-around dress. A wide black sequined band runs around the chest, a large sequined bow is attached to the right side. The fabric of the dress is pleated to this band and falls straight down to just above the knee. The dress has narrow _shoe-string_ straps that tie at the shoulders. ";;;;;;;
"This dress was made by Beginnings Dress Company Inc in America. It dates to circa 1978. This dress is typical of the fashions of the era. Disco peaked with the release of the film Saturday Night Fever in 1977 and the launch of notorious nightclub Studio 54 in New York."",dmas_ctloa000040_d02_cc1024.jpg";;;;;;;;
CTLOA000041,Costume,Dress,,Gina,c1961-1965,,,,,Synthetic;" Glass,,""This is a black synthetic crˆpe cocktail dress. It has a high-waisted, fitted, sleeveless bodice with a round neck. A decorative bow with a diamante clasp is attached to the right side of the waist. The knee-length skirt is slightly flared and has a wide frill around the hem. Another frill is attached from the waist, beneath the bow, to the hem. ";;;;;;;
"The design of this dress is similar to one worn by the character Holly Golightly (played by the actress Audrey Hepburn) in the film Breakfast at Tiffany_s. The film, released in 1961, popularised little black dresses. Many mass-manufactured dresses, inspired by the designs of couturier Hubert Givenchy for Breakfast at Tiffany_s were produced in the early 1960s.  This dress, made by Gina, in America, dates to circa 1961-1965."",dmas_ctloa000041_d02_cc1024.jpg";;;;;;;;
CTLOA000044,Costume,Dress,,Pearce Fionda,2007,,,,,Polyester; Glass;" Plastic,,""This is a black evening dress, made from polyester. The dress has a strapless, loosely pleated bodice and a knee-length flared skirt, pleated to the waistband.  A decorative buckle made of diamante and imitation pearls is attached to the waist, at the centre front of the bodice.";;;;;;
"Pearce Fionda designed this dress in 2007 for their Pearce II Fionda Limited Edition Range, retailed in Debenhams. The design of their dress is based upon a 1960s cocktail dress, which Pearce Fionda state they have _updated for a modern clientele._"",dmas_ctloa000044_d01_cc1024.jpg";;;;;;;;
CTLOA000047,Costume,Dress,,Oleg Cassini; Black Tie,c1990s,,,,,Silk;" Plastic,,""This is an evening dress made of black silk. The dress is tight fitting and sleeveless. It has a black sequinned bodice with a _racer_ back and a straight knee length skirt. The simple lines and subtle contrasts of this dress represent the progression of fashion, during the 1990s, away from the design excesses of the previous decade. ";;;;;;
"This dress was designed by Oleg Cassini for the Black Tie range in circa 1990s. It was made in China. Oleg Cassini was an American Designer known for his simple geometric designs in rich fabrics. Cassini was a pioneer in franchising, he lent his name to 50 fashion-related lines."",dmas_ctloa000047_d01_cc1024.jpg";;;;;;;;
CTLOA000048,Costume,Dress,,Fred Hayman; Bob Mackie,c1990s,,,,,Silk;" Glass,,""This is an evening dress made of black silk. The dress is knee-length, fitted and sleeveless. At the front of the bodice is a large, inverted V shaped insert made of black tulle, edged with diamante. ";;;;;;
"This dress was designed by Bob Mackie, for the exclusive Beverly Hills boutique Fred Hayman. It dates to circa 1990s.  Bob Mackie is an American designer who has dressed many famous entertainment personalities. His first ready-to-wear collection was launched in 1982. Mackie_s sparkling designs have led him to be christened the _Sultan of Sequins_ and _the Rajah of Rhinestones_."",dmas_ctloa000048_d01_cc1024.jpg";;;;;;;;
CTLOA000050,Costume,Dress,,Giles Deacon,2006,,,,,Silk;" Glass,,""This is an evening dress made of black silk, decorated with large black balls. The dress is short, straight-cut shift, with a round neck and short cap sleeves. Attached to the dress from hem to chest, front and back are balls in a variety of sizes, between half an inch to two inches in diameter, covered with black crystal beads. Between the balls are sewn single beads. The dress fastens at the back with a large metal zip. ";;;;;;;
"This dress is titled _Stella Ball Shift Dress_. It was designed by Giles Deacon in London for his Spring/Summer 2006 collection. Giles Deacon, a graduate of Central Saint Martins, launched his own label Giles in 2005. His critically acclaimed designs are often humorous and playful.  Giles says that the inspiration for this dress was _space and the cosmos_."",dmas_ctloa000050_d02_cc1024.jpg";;;;;;;;
"CTLOA000051,Costume,Dress,,Biba,1970,,,,,Wool,,""This is a black wool jersey dress. It has a knee length a-line skirt, a low scoop neck and long, tight sleeves, puffed at the shoulders. The bodice is tight fitting and gathered down the front from chest to waist.  ";;;;;;;;
"This dress was made by Biba in London in 1970. Barbara Hulanicki and her husband Fitz founded Biba in 1963. Hulanicki_s designs were inspired by the faded elegance of earlier eras. The narrow puffed sleeves of this dress reference late 19th century bodices, whilst the ruching recalls the drapery fashionable in the 1930s. Biba_s styling led the way for trend in exaggerated retro dress that was to dominate fashion in the 1970s."",dmas_ctloa000051_d02_cc1024.jpg";;;;;;;;
"CTLOA000052,Costume,Dress,,,c1928-c1933,,,,,Silk,,""This is an evening dress made from black silk lace. It is calf-length, sleeveless and has a cowl neck. The design of this dress marks a transition from the straight cut styles of the early-mid 1920s towards more feminine and curvaceous styles, fashionable in the 1930s."",dmas_ctloa000052_d01_cc1024.jpg";;;;;;;;
CTLOA000054,Costume,Dress,,Betty Jackson,2007,,,,,Silk; Glass;" Plastic,,""This is a black silk organza evening dress.  It is a high waisted, knee-length style with a shawl collar and train. The train is made from two layers of fabric cut with an abstract pattern and sandwiched together. The top layer is appliqu‚d with beaded and sequinned floral shapes. The train falls from the shoulders and is caught up at the hem  ";;;;;;
"This dress is titled _Angel Dress_. It was designed by Betty Jackson, in London for her Autumn/Winter 2007 collection.  Betty Jackson_s clothes are known for their femininity and wearability."",dmas_ctloa000054_d02_cc1024.jpg";;;;;;;;
CTLOA000055,Costume,Dress,,Amanda Wakeley,2007,,,,,Silk;" Satin,,""This is a black silk evening dress. The dress has an hourglass silhouette, created by a strapless corset-style top, fitted to the hips and a full-length bias cut skirt, flowing beneath. The corset is constructed from panels of silk satin and quilted silk. The bust cups are circularly stitched into a conical shape. The construction and detailing of the dress recalls the structured underwear of the 1950s.";;;;;;;
"This dress was designed by Amanda Wakeley in London for her Spring/Summer 2007 collection.  Wakeley has three times won the British Fashion Award for Glamour."",dmas_ctloa000055_d01_cc1024.jpg";;;;;;;;
"CTLOA000056,Costume,Dress,,English Eccentrics,2006,,,,,Polyester,,""This a  full-length black evening dress, made from  polyester suiting fabric, laser cut with a design of snowflakes. The fabric is gathered down the back of the skirt to a create bustle, which gives the effect of layers of falling snowflakes. The dress has a very low back, a cowl neck and narrow straps that cross over  the back. ";;;;;;;;
"The dress was designed by  English Eccentrics for their Autumn/Winter 2006 Collection.  Helen David, the Design Director for English Eccentrics says her inspiration was the Ice Queen fairytale. She has titled this dress 'Snowflake Extravaganza.'"",dmas_ctloa000056_d01_cc1024.jpg";;;;;;;;
"CTLOA000057,Costume,Dress,,Jaeger,c1968,,,,,Wool,,""This is a black mini-dress made of crocheted wool. It has an a-line skirt, with a narrow belt woven though the waistband, a high round neck and long sleeves with wide cuffs. The dress would have originally been worn with a body stocking beneath.";;;;;;;;
"This dress was designed by Young Jaeger in London in circa 1968. The crochet was handmade by Gozo.  Jaeger began producing quality ready-to-wear garments made of wool or other animal hair in the 1850s. The Young Jaegar label, aimed at the 18-24 age group, was launched in the 1950s as a response to the growing teenage fashion market."",dmas_ctloa000057_d01_cc1024.jpg";;;;;;;;
"CTLOA000058,Costume,Dress,,Jaeger,2007,,,,,""Silk, Cotton, Viscose, Nylon"",,""This is a black evening dress. It has a knee-length, strapless, boned satin under-dress and sleeveless lace shift over-dress trimmed with black glass beads. The dress has a separate wide black satin belt with a decorative bugle beaded buckle. ";;;;;;;;
"This dress was made by Jaeger in London in 2007.  Jaeger has been producing ready to wear garments since the 1850s. The company is known for its high quality, classic clothing."",dmas_ctloa000058_d02_cc1024.jpg";;;;;;;;
CTLOA000059,Costume,Dress,,Aquascutum,2005-2006,,,,,Silk;" Nylon,Free-size,""This is a black evening dress. It is is loose and unstructured, formed of a silk taffeta bodice and multi-layered nylon tulle skirts. The bodice has a low v-neck and a very low back. A panel of black nylon tulle runs around the sides and back of the bodice. A drawstring is threaded through the edge of this panel and extends to form the halter straps. The full skirt begins at waist level at the front and at the lower hip at the back, the hem of the skirt is also lower at the back. The designer of this dress examined an underslip from a 1950s wedding dress and used elements of its construction in this design.";;;;;;;
"This dress was made by Aquascutum in London for their Autumn/Winter 2005-2006 collection. It is titled _Minerva. Aquascutum has been established for more than 150 years. They are known for fine craftsmanship, tailoring and attention to detail. In the past two years they have repositioned themselves as a luxury and contemporary global fashion brand."",dmas_ctloa000059_d02_cc1024.jpg";;;;;;;;
CTLOA000060,Costume,Dress,,Bruce Oldfield,2007,,,,,Silk;" Glass,,""This is a black silk crˆpe evening dress.  It is constructed of vertical panels, fitted to the curves of the body. A border of black bugle beads runs around the sides and the low back of the dress, at the front this border extends to become the halter neck straps. At the back, a beaded panel divides the dress symmetrically, from neck to hem. The knee length skirt flares at the hem. ";;;;;;;
"This couture dress was made by Bruce Oldfield in London in 2007. Oldfield began cutting multipanelled dresses, like this one, in the early 1990s."",dmas_ctloa000060_d01_cc1024.jpg";;;;;;;;
CTLOA000062,Costume,Dress,,DAKS; Giles Deacon,2007,,,,,Velvet; Viscose;" Silk,,""This is a black evening dress. The dress has a silk velvet bodice with long sleeves and a deep V-neck. The bodice is attached to a knee-length pencil skirt with padded hips, made of a textured silk and viscose. The exaggerated silhouette and unusual combination of fabrics is a subtle subversion of the classic little black dress.";;;;;
"This dress was designed by Giles Deacon in London for DAKS. DAKS was established in 1894 as a bespoke tailoring factory, it is now recognised as one of the leading British contemporary classic brands. In 2006 Giles Deacon, was appointed to design the Womenswear Luxury Collection. His input has modernised the company_s profile."",dmas_ctloa000062_d01_cc1024.jpg";;;;;;;;
"CTLOA000063,Costume,Dress,,Sarah Arnett,2007,,,,,Silk satin,,""This is a black and gold coloured evening dress made from duchess satin trimmed with black bugle beads. The satin is patterned in an abstract design, textured to resemble devor‚.  The dress is fitted, sleeveless and knee length. The fabric at the front of the dress is twisted at a central point on the bust, beneath the V-shaped neckline. The hem of the dress is lower at the back and has kick pleats from hem to just below the bottom. ";;;;;;;;
"This dress was designed by Sarah Arnett in Brighton in 2007. Sarah Arnett studied Fashion Textiles at the University of Brighton and is now a successful designer who sells her work internationally and from her own boutique in Brighton."",dmas_ctloa000063_d01_cc1024.jpg";;;;;;;;
CTLOA000065,Costume,Dress,,Julien MacDonald,2006-2007,,,,,Silk velvet;" Silk chiffon,,""This an evening dress made of silk velvet. This figure hugging design has a corseted strapless bodice, with a sweetheart neckline fitted to the knees. Beneath the bodice, a silk chiffon and velvet devore skirt flares  into a large circular train. Layers of tulle underskirts hold out the skirt. The dress is worn with a wide satin belt with a large vertical bow. ";;;;;;;
"This dress was designed by Julien MacDonald in London for his Autumn/Winter 2006-2007 collection. The dramatic silhouette of this dress is typical of Macdonald_s glamorous, feminine designs. His headline grabbing dresses are the selected by many celebrities. Victoria Beckham wore this dress in her book That Extra Half Inch."",dmas_ctloa000065_d02_cc1024.jpg";;;;;;;;
"CTLOA000071,Costume,Dress,,Anouska Hempel,2007,,,,,,,""This is a black evening dress made from silk gazar. The dress has a puffball shaped skirt that balloons from a tight band around the bust and is gathered into a band at the hem. A central fabric tube beneath the skirt holds out its sculptural shape. The dress is worn with arm cuffs, which echo the silhouette of the dress: a tight band around the upper arm ballooning out beneath the elbow.";;;;;;;;
"This dress was created by Anouska Hempel in London for her Spring 2007 collection. Hempel couture is particularly notable for the use of innovative modern fabrics to create outfits of contemporary fantasy."",dmas_ctloa000071_d01_cc1024.jpg";;;;;;;;
CTLOA000072,Costume,Dress,,Hamish Morrow,2007,,,,,Latex;" Lace,,""This is a black latex evening dress, trimmed with chantilly lace. It is long sleeved, knee-length and cut like a coat, open to the waist with lace inserted across the chest. It has a low waist, gathered with a drawstring. The fabric is draped over the shoulders like a shawl.";;;;;;;
"This dress was designed by Hamish Morrow, in London, for his Autumn/Winter 2007 Collection. The designer says of his design that it is _architecturally draped but wraps the body gently. The combination of latex and lace embodies my interest in technology and glamour, luxury and modernity. The two materials have such opposing connotations that their combination is more powerful."",dmas_ctloa000072_d01_cc1024.jpg";;;;;;;;
"CTLOA000076,Costume,Dress,,Harrods,c1930s,,,,,Silk,,""This is a black evening dress made from silk chiffon crˆpe.  It has strapless corseted bodice with a sweetheart neckline and full-length skirt with tiered panniers on either hip. ";;;;;;;;
"This dress was made by Harrods in London in the 1930s. It was owned by woman called May, who wore it to dine at the captain's table whilst travelling on a cruise liner to Australia."",dmas_ctloa000076_d01_cc1024.jpg";;;;;;;;
"CTLOA000080,Costume,Dress,,Jean Muir,c1981,,,,,Viscose,,""This is a black viscose dress designed by Jean Muir. It is simply cut and constructed. Working with the dictates of the cloth it drapes in  loose, fluid lines from shoulder to hem. Jean Muir_s designs won her the accolade of _modern minimalist._  ";;;;;;;;
 ;;;;;;;;
"This dress was worn by Joanna Lumley, who began her career in the 1960s as Jean Muir_s house model. Lumley describes this dress as her _dear little classic_."",dmas_ctloa000080_d02_cc1024.jpg";;;;;;;;
